tavg,tmin,tmax,wind,globrad,precip,relhumid,de-date
-1.0483333333333333,-4.326666666666667,1.9433333333333334,4.755,12.186666666666667,1.0483333333333333,92.57166666666667,14.03.2016
-1.2566666666666666,-4.61,2.0566666666666666,4.78,12.691666666666668,1.845,90.54333333333334,15.03.2016
-3.7933333333333334,-8.828333333333333,0.3216666666666666,4.255,13.036666666666667,0.5099999999999999,88.15666666666668,16.03.2016
-4.9799999999999995,-10.046666666666667,-0.47000000000000003,3.5933333333333337,10.975,0.5866666666666667,88.96833333333332,17.03.2016
-4.331666666666666,-8.028333333333334,-0.5383333333333331,2.84,14.376666666666667,0.4666666666666666,87.92666666666666,18.03.2016
-3.2816666666666667,-8.355,1.505,3.4033333333333338,13.981666666666667,1.1783333333333335,90.96833333333332,19.03.2016
-0.7999999999999999,-4.701666666666667,2.2216666666666667,4.198333333333333,12.993333333333332,2.0716666666666668,89.75,20.03.2016
-0.96,-4.488333333333333,2.2383333333333333,3.75,13.126666666666667,0.505,87.21833333333332,21.03.2016
-0.36500000000000005,-4.3116666666666665,3.3166666666666664,4.546666666666667,12.786666666666667,2.035,88.96833333333332,22.03.2016
-0.39833333333333343,-3.27,2.5433333333333334,4.798333333333333,14.159999999999998,5.956666666666667,87.125,23.03.2016
-1.4516666666666669,-6.141666666666667,2.875,4.848333333333334,12.398333333333333,2.2016666666666667,86.08166666666666,24.03.2016
-1.416666666666667,-7.033333333333332,3.4616666666666673,3.9633333333333334,14.661666666666667,1.6083333333333334,88.64666666666666,25.03.2016
-1.1783333333333335,-7.328333333333333,4.396666666666667,3.6783333333333332,13.453333333333333,2.12,87.31333333333333,26.03.2016
-3.1166666666666667,-9.201666666666666,3.065,3.7566666666666664,15.513333333333334,0.07166666666666667,87.74000000000001,27.03.2016
-3.096666666666667,-8.815,2.8800000000000003,3.888333333333333,17.41,0.07166666666666667,80.91666666666667,28.03.2016
-2.38,-6.8516666666666675,1.2616666666666667,4.565,13.066666666666668,1.6883333333333332,84.97833333333334,29.03.2016
-0.09999999999999999,-3.785,3.1816666666666666,3.715,13.146666666666667,2.32,87.435,30.03.2016
0.7466666666666666,-2.6366666666666667,4.316666666666666,3.59,12.186666666666667,3.31,89.64666666666666,31.03.2016
0.7083333333333334,-2.4549999999999996,4.086666666666667,4.343333333333334,9.878333333333332,3.4766666666666666,88.33166666666666,01.04.2016
1.1616666666666666,-2.52,5.366666666666667,3.2983333333333333,12.128333333333332,1.0233333333333332,84.57333333333334,02.04.2016
